"professor","Course.Name","Survey.Period","Svy.Rcv","Exp","X.","I.would.recommend.this.professor.to.other.students","When.I.sought.consultation.about.this.course..the.professor.was.available.outside.of.class.time","I.received.adequate.supervision.over.my.work.on.the.project","I.received.my.placement.in.a.timely.fashion","I.received.the.project.in.a.timely.fashion","In.the.course.of.working.on.my.clinic.projects..I.received.thorough.and.useful.supervision","My.experience.at.the.field.placement.was.positive","My.experience.in.the.field.work.component.enhanced.my.understanding.and.the.insights.I.gained.in.the","The.class.covered.meaningful.and.worthwhile.subject.matter.","The.class.improved.my.lawyering.skills","The.clinic.has.improved.my.ability.to.function.as.a.lawyer","The.clinic.projects.and.classroom.components.of.the.course.were.integrated.effectively","The.professor.adjusted.the.class.for.the.online.distance.learning.format","The.professor.s.feedback.on.my.project.work.was.helpful.in.revising.my.work","The.project.was.well.defined","The.readings.were.useful.and.well.integrated.into.the.course.and.or.provided.helpful.background.for","The.seminar.classes.enhanced.the.field.work.component","How.well.has.the.professor.adjusted.the.class.for.the.online.environment.","I.had.a.helpful.personal.consultation.with.the.professor.about.my.draft.paper","I.received.helpful.guidance.regarding.research.strategy.from.the.professor.and.or.from.a.guest.lectu","The.professor.adjusted.the.class.for.the.online.environment.","The.professor.challenged.students.to.think.critically","The.professor.created.a.learning.environment.that.was.hospitable.to.all.students","The.professor.provided.detailed.written.feedback.on.my.preliminary.draft.s..of.the.paper","The.professor.provided.timely.and.useful.comments.on.my.outline.or.other.preparatory.written.product","The.professor.taught.the.course.well","The.professor.s.feedback.on.the.preliminary.draft.s..was.will.be.helpful.in.revising.my.paper","n_courses"
"DeRosa, Mary","Torts",202043.333,27,38.833,70.833,4.75,4.9,NA,NA,NA,NA,NA,NA,4.917,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.617,4.983,NA,NA,4.667,NA,6
"Dean, Warren","Crsbrdr Com Reg:Aviatn/Maritim",201880,5,8.5,57,4.45,3.85,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,4.5,4.15,NA,NA,4.45,NA,2
"Decker, Bruce","Corporate Income Tax Law I",202030,27.6,41,67.8,4.66,4.68,NA,NA,NA,NA,NA,NA,4.88,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.64,4.82,NA,NA,4.68,NA,5
"Dehghani-Tafti, Parisa","Wrongful Convictions",201910,11,15,73,4.6,4.7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.8,4.5,NA,NA,4.8,NA,1
"Dennis, Kia","Adv Scholarly Writing",201830,12,14,86,4.7,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.8,NA,1
"Dennis, Kia","U.S. Legal Research Analysis and Writing",201820,10,19,53,4.5,4.6,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,4.6,NA,1
"Devlin, Alan","Hot Topics in Antitrust",202030,10.4,14.8,72.8,4.76,4.82,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,NA,4.64,NA,NA,NA,NA,NA,4.82,4.9,NA,NA,4.74,NA,5
"Dewey, Elizabeth","Law Firm Economics",201910,6,17,35,4.7,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Dewey, Elizabeth","Pract Helping Pro Se Litigants",202060,4.5,8.5,55.5,4.8,5,NA,4.9,NA,NA,4.9,4.75,5,4.9,NA,NA,NA,NA,NA,4.65,4.65,NA,NA,NA,NA,4.8,4.8,NA,NA,4.8,NA,2
"Dewey, Elizabeth","Tackling Civil Access to Just",201910,4,7,57,5,5,NA,5,NA,NA,4.8,5,5,4.8,NA,NA,NA,NA,NA,4.5,4.3,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Diamond, Michael","Affordable Housing Seminar",202060,11,19.75,55.25,4.45,4.775,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.525,NA,NA,4.675,3.675,NA,4.65,4.7,4.15,4.4,4.575,4.375,4
"Diamond, Michael","Contracts",202040,32,51.25,62.25,4.275,4.475,NA,NA,NA,NA,NA,NA,4.625,NA,NA,NA,NA,NA,NA,4.425,NA,NA,NA,NA,NA,4.675,4.525,NA,NA,4.275,NA,4
"Diamond, Michael","Corporations",202046,78,120.4,65,4.62,4.78,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.74,NA,NA,NA,NA,NA,4.78,4.72,NA,NA,4.66,NA,5
"Diamond, Nicholas","Bioethics and Social Justice",202030,10,16.333,61.333,4.7,4.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.667,4.867,NA,NA,4.567,NA,3
"Diamond, Nicholas","Public Health Law and Ethics",202010,6.333,12.333,50.333,4.567,5,NA,NA,NA,NA,NA,NA,4.933,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.767,5,NA,NA,4.467,NA,3
"Dienelt, John","Contract Law Sem: Franchising",201926.667,6,11.667,51.667,4.933,4.833,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,4.767,5,NA,NA,4.9,NA,3
"Dillon, Thomas","Street Law: Crim Just & HR",202230,8,15,53,4.1,4.6,4.5,NA,4.4,NA,NA,NA,5,NA,NA,NA,NA,4.3,4.3,4,NA,NA,NA,NA,NA,4.4,4.1,NA,NA,4.1,NA,1
"Dillon, Thomas","Street Law: Mock Trial Adv",202210,5,14,36,4.6,4.8,4.8,NA,5,NA,NA,NA,4.8,NA,NA,NA,NA,4.8,5,4.6,NA,NA,NA,NA,NA,4.8,4.4,NA,NA,4.6,NA,1
"Dinan, Donald","Intl Prot of Ip: WTO",201980,11,14.5,76,3.7,4.375,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,4.275,4.325,NA,NA,3.925,NA,4
"Donahoe, Diana","Adv Leg Writ: Practical Lawyer",202183.333,5,10.333,49.333,4.733,4.667,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,4.667,4.733,NA,NA,4.667,NA,3
"Donahoe, Diana","Legal Practice: Writ/Analysis",201910,39,51,76,4.8,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.7,4.9,NA,NA,4.7,NA,1
"Donahoe, Diana","Legal Writing Sem:Theory&Pract",201910,2,6,33,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,4.5,4,NA,5,5,5,5,5,5,1
"Donahue, Daniel","Adv Legal Research",202160,8,19,40,4.4,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.35,4.7,NA,NA,4.3,NA,2
"Donahue, Daniel","Legal Research Skills for Prac",202120,9,12,75,4.4,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.5,5,NA,NA,4.7,NA,1
"Donato, Katharine","Intl Migration and Development",201830,1,6,17,4,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,5,NA,NA,4,NA,1
"Donnelly, Matthew","Corporate Tax Planning in Prac",202120,4.5,4.5,100,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"Donohue, Laura","Con Law I: Federal System",202030,43.75,50.5,87,4.075,4.725,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.875,4.225,NA,NA,4.325,NA,4
"Donohue, Laura","First Amendment Law",202010,12,20,60,4.9,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Donohue, Laura","Foreign Intelligence Law",202210,26,30,87,4.4,4.7,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.8,4.6,NA,NA,4.5,NA,1
"Donohue, Laura","Social Media Law Seminar",202210,13,22,59,3.9,4.3,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,3.8,4,NA,4.7,4,4.2,4.2,4.3,4.2,1
"Donohue, Laura","Tech (Un)leashed",202010,10,19,53,4.8,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,5,4.9,NA,NA,4.5,NA,1
"Doran, Michael","Federal Income Taxation",202230,48,59,81,5,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,1
"Dorfman, Marc","SEC Enforcement Process",202043.333,5.667,11.667,49.833,4.067,4,NA,NA,NA,NA,NA,NA,4.617,NA,NA,NA,NA,NA,NA,4.5,NA,4.2,NA,NA,4.5,4.367,4.4,NA,NA,4.35,NA,6
"Dorsainvil, Dolores","Professional Responsibility",202030,27.2,47.6,60.6,3.96,4.38,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,3.48,NA,NA,NA,NA,NA,4,4.52,NA,NA,4.04,NA,5
"Doss, April","Fndn of Amer Law in Digitl Age",202130,3,4,75,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.7,5,NA,NA,4.7,NA,1
"Doss, April","Information Privacy Law",202210,8,25,32,3.6,4.3,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,4.6,4.8,NA,NA,3.8,NA,1
"Doss, April","Tech Law Scholars Seminar I",202210,7,20,35,3.6,3.6,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.1,4.6,NA,NA,3.9,NA,1
"Doss, April","Tech Law Scholars Seminar II",202210,9,18,50,3.9,3.7,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,3.5,4.6,NA,NA,3.4,NA,1
"Dreeben, Michael","Supreme Court Today",202160,3,13,23.5,4.65,5,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.65,4.7,NA,NA,4.85,NA,2
"Drimmer, Jonathan","War Crimes & Prosecutions",201830,7,9,78,4.9,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,5,5,NA,NA,4.9,NA,1
"Dubois, Pascale","Intl Efforts to Combat Corrupt",202060,7.5,14,52.5,4.875,4.65,NA,NA,NA,NA,NA,NA,4.975,NA,NA,NA,NA,NA,NA,4.525,NA,NA,NA,NA,NA,4.75,5,NA,NA,4.8,NA,4
"Duckett, Tahir","Decentering the Police Practic",202230,7,14,50,4.7,4.8,3.9,NA,4.7,NA,NA,NA,4.9,NA,NA,NA,NA,4.2,4.6,4.6,NA,NA,NA,NA,NA,4.7,5,NA,NA,4.7,NA,1
"Duff-O'Bryan, Stephanie","US Legal Res. Anlsys & Writing",201880,8.5,10,86.5,4.4,4.3,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,4.35,4.6,NA,NA,4.45,NA,2
"Duffy, Patricia","Intl Business Transactions",202180,32,36.5,85,4.6,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.65,4.8,NA,NA,4.65,NA,2
"Duncan, Ellis","US Legal Res. Anlsys & Writing",202030,14.25,19.75,73.25,4.725,4.975,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.625,NA,NA,NA,NA,NA,4.5,4.925,NA,NA,4.775,NA,4
"Dundon, John","ALE: Grammar Legal Contexts II",202010,12,14,85,4.95,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.85,NA,2
"Dundon, John","Drafting Contracts",202105,16.333,22.667,73,4.917,4.95,NA,NA,NA,NA,NA,NA,4.917,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.85,4.9,NA,NA,4.867,NA,6
"Dundon, John","Intro to U.S. Con Law",202010,23,28,82,5,5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,1
"Dundon, John","Legal English I",202180,9,12.5,71.5,4.9,4.95,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,4.7,4.95,NA,NA,4.9,NA,2
"Dundon, John","Legal English II",202210,11,12,92,4.8,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,4.8,NA,1
"Dundon, John","US Legal Res. Anlsys & Writing",202142.5,12.75,16,75.5,4.625,4.925,NA,NA,NA,NA,NA,NA,4.775,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.8,4.85,NA,NA,4.775,NA,4
"Dunning, Lauren","Public Health Law and Ethics",202210,8,10,80,4.6,5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.6,5,NA,NA,4.6,NA,1
"Duross, Charles","Trial Practice",201910,7,9,78,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Dutra, Patricia","Adv Scholarly Writing",202210,5.5,9.5,52,4.25,4.75,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.65,5,NA,NA,4.25,NA,2
"Dutra, Patricia","Oral Communication in Law II",202210,6.5,11,59,4.95,4.95,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.9,4.85,NA,NA,4.95,NA,2
"Dutra, Patricia","US Legal Res. Anlsys & Writing",202197.5,11,14.25,77,4.625,4.9,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.775,NA,NA,NA,NA,NA,4.725,4.775,NA,NA,4.625,NA,4
"Dutta-Gupta, Indivar","Cong Hearing: Labor Std",202060,19.75,23.25,84.5,4.8,4.875,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.6,4.875,NA,NA,4.75,NA,4
"Dutta-Gupta, Indivar","Week One Teaching Fellows",202060,2.5,3.75,66.75,5,5,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,4.575,5,NA,NA,5,NA,4
"Duval, Catherine","Professional Responsibility",201960,30,56.5,48.5,4.2,3.9,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4,4.5,NA,NA,4.25,NA,2
"Dwyer, Mary","Fndn of Amer Law in Digitl Age",202230,1,2,50,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Dwyer, Mary","Tech Law Scholars Seminar I",202230,10,24,42,4.8,4.3,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.6,4.9,NA,NA,4.9,NA,1
"Dwyer, Mary","Tech Law Scholars Seminar II",202230,9,26,35,4.2,4.4,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.2,4.4,NA,NA,4.4,NA,1
"Dyson, Dana","Strategic Intel & Pub Policy S",202220,4,13,31,5,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,5,5,NA,5,5,5,5,5,5,1
"Eckblad, Ariel","Negotiations Sem",202030,12,23,51.667,4.833,4.633,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,4.933,4.933,NA,NA,4.833,NA,3
"Edelman, Peter","Constitutional Law II",201956.667,31,52.667,62,3.533,4.6,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,3.967,NA,NA,NA,NA,NA,4.033,4.333,NA,NA,3.567,NA,3
"Edelman, Peter","Income and Public Benefits",202110,7.667,20.333,41.333,4.567,4.8,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.133,NA,NA,NA,NA,NA,4.667,4.833,NA,NA,4.633,NA,3
"Edelman, Peter","Poverty Law and Policy",202061.429,9,15.857,57.429,4.271,4.9,NA,4.929,NA,NA,4.829,4.686,4.771,4.486,NA,NA,NA,NA,NA,3.957,4.229,NA,NA,NA,NA,4.529,4.614,NA,NA,4.143,NA,7
"Edelman, Todd","Intro to U.S. Con Law",202030,18.75,22.25,84,4.925,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.975,NA,NA,NA,NA,NA,4.975,4.925,NA,NA,4.95,NA,4
"Edelman, Todd","Introduction to Torts",202060,21.5,25.25,85.25,4.85,4.875,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.825,NA,NA,NA,NA,NA,4.85,4.9,NA,NA,4.875,NA,4
"Edmonds, Nathaniel","Criminal Pract Sem: White-Coll",201960,8,18,44.5,4.9,4.55,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.9,4.95,NA,NA,4.9,NA,2
"Effron, Andrew","Judicial Review of Military Ju",202060,12.25,17,70,4.75,4.9,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.675,4.9,NA,NA,4.8,NA,4
"Egbert, Karl","Corporations",202046,26.6,42.8,62.2,4.52,4.52,NA,NA,NA,NA,NA,NA,4.68,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.72,4.68,NA,NA,4.54,NA,5
"Eickelberg, Henry","Employee Benefits Practicum",202076.667,3.333,8.667,38.333,5,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.567,NA,NA,NA,NA,NA,4.9,4.933,NA,NA,4.9,NA,3
"Eisenberg, Andrew","Corporate Income Tax Law II",201880,6,10.5,62.5,5,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.95,5,NA,NA,4.95,NA,2
"Elsisi, Ahmed","Intl Arbitr in the Middle East",202210,3,6,50,4.7,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.7,5,NA,NA,4.7,NA,1
"Emery, Alonzo","Negotiations Sem",201880,19.5,24,81,4.9,4.8,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,4.85,4.95,NA,NA,4.9,NA,2
"Emhoff, Douglas","Entertainment Disputes",202183.333,12.333,28.667,50.333,4.9,4.8,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.467,NA,NA,NA,NA,NA,4.767,4.933,NA,NA,4.867,NA,3
"Emhoff, Douglas","Intro to Alt Dispute Resolutio",202130,12,30,40,4.2,4.5,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.2,4.2,NA,NA,3.9,NA,1
"Engmann, Gail","Criminal Def & Pris Adv Clinic",202210,11,14,79,4.4,4.4,NA,NA,NA,4.5,NA,NA,5,NA,4.6,4.3,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.4,4.4,NA,NA,4.4,NA,1
"Epstein, Deborah","Clinical Pedagogy",202110,5,16,31,4.6,5,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,4.8,4.6,NA,NA,4.8,NA,1
"Epstein, Deborah","Domestic Violence Clinic",202007.143,10.571,12,88.143,4.957,4.986,NA,NA,NA,4.886,NA,NA,4.971,NA,4.971,4.829,NA,NA,NA,4.743,NA,NA,NA,NA,NA,4.986,4.971,NA,NA,4.971,NA,7
"Ernick, David","Transfer Pricing: Sel Topics",202010,5.333,8.667,61.667,4.333,4.9,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.567,4.867,NA,NA,4.4,NA,3
"Ernst, Daniel","American Legal History",202020,12.25,23,51.5,4.425,4.65,NA,NA,NA,NA,NA,NA,4.575,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.6,4.85,NA,NA,4.65,NA,4
"Ernst, Daniel","New Deal Legal History Seminar",202060,6.5,13.75,46,4.675,4.975,NA,NA,NA,NA,NA,NA,4.625,NA,NA,NA,NA,NA,NA,4.5,NA,NA,4.7,4.675,NA,4.775,4.825,4.625,4.6,4.75,4.875,4
"Ernst, Daniel","Property",202230,76,112,68,3.5,4.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.6,4.5,NA,NA,3.9,NA,1
"Ernst, Daniel","Property in Time",202050,54.333,74.333,74,4,4.667,NA,NA,NA,NA,NA,NA,4.333,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,4,NA,3
"Estabrook, David","Financial Reporting & Accting",201960,5.5,9,61.5,4.45,4.85,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.45,4.8,NA,NA,4.45,NA,2
"Ettinger, Stacy","Intl Trade Rmdy & the Wto",202010,6,14,43,4.8,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,4.7,NA,NA,4.8,NA,1
"Evans, Marianne","State & Loc Tax:Income& Frnchs",202030,3.111,10.444,31.667,4.633,4.229,NA,NA,NA,NA,NA,NA,4.878,NA,NA,NA,4,NA,NA,4.822,NA,4.675,NA,NA,NA,4.733,4.756,NA,NA,4.678,NA,9
"Everly, George","Courts and Congress",202230,12,22,55,4.6,4.3,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.7,4.8,NA,NA,4.5,NA,1
"Faber, Scott","Public Interest Adv: Gov't Reg",202060,3.5,4.75,66.75,5,5,NA,4.9,NA,NA,4.8,4.8,5,4.9,NA,NA,NA,NA,NA,4.75,4.875,NA,NA,NA,NA,4.975,5,NA,NA,5,NA,4
"Facciola, John","Evidence",202037.778,30.333,43.778,70.111,4.678,4.911,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.544,NA,NA,NA,NA,NA,4.778,4.822,NA,NA,4.667,NA,9
"Facciola, John","Info Tech & Modern Litigation",202030,9.8,13.6,72.2,4.74,4.9,NA,NA,NA,NA,NA,NA,4.76,NA,NA,NA,NA,NA,NA,4.32,NA,NA,NA,NA,NA,4.76,4.86,NA,NA,4.72,NA,5
"Facciola, John","Intro to U.S. Con Law",202030,31,36,85.6,4.46,4.88,NA,NA,NA,NA,NA,NA,4.76,NA,NA,NA,NA,NA,NA,4.52,NA,NA,NA,NA,NA,4.66,4.72,NA,NA,4.54,NA,5
"Facciola, John","Introduction to Contracts",202060,41.125,53.875,78.75,4.525,4.888,NA,NA,NA,NA,NA,NA,4.838,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.638,4.787,NA,NA,4.575,NA,8
"Facciola, John","Prof Responsibility Law in US",202175,22,32.5,59,4.2,4.25,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,3.95,4.5,NA,NA,4.25,NA,2
"Facciola, John","Professional Responsibility Law in the United States",201870,22.5,34.5,64.5,4.7,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.75,4.8,NA,NA,4.75,NA,2
"Fairfax, Roger","Criminal Justice",202030,27,37,73,4.3,4.4,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.7,4.4,NA,NA,4.6,NA,1
"Fallon, Ethan","US Legal Res. Anlsys & Writing",202230,12,17,71,3.5,3.7,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.3,4.2,NA,NA,3.9,NA,1
"Faulhaber, Lilian","Digital Taxation Seminar",202110,11,22,50,4.8,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,4.5,4.4,NA,4.9,5,4.8,4.6,4.6,4.8,1
"Faulhaber, Lilian","Fed Income Tax LLM Section",201930,21,32,66,4.7,4.9,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.7,4.6,NA,NA,4.7,NA,1
"Faulhaber, Lilian","Federal Income Taxation",201995,61,85.25,71.25,4.85,4.85,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,4.9,4.875,NA,NA,4.9,NA,4
"Faulhaber, Lilian","Intl Tax",202180,64.5,76,85,4.7,4.65,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.8,4.65,NA,NA,4.7,NA,2
"Faulhaber, Lilian","Tax Law & Public Fin Wkshp",201910,4,13,31,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,5,5,5,5,5,5,1
"Faulhaber, Lilian","US Income Tax: Policies & Prac",201830,21,27,78,4.8,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.8,NA,1
"Federoff, Allison","US Legal Res. Anlsys & Writing",202020,11,11,100,4.9,5,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.75,5,NA,NA,4.9,NA,2
"Feinerman, James","Asian Law & Policy Seminar",201910,10,21,48,4.7,4.7,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,4,NA,NA,4.4,3.7,NA,4.7,4.7,4.4,3.8,4.1,4.4,1
